TransactionID,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11,id_12,DeviceType,DeviceInfo
1001,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-0
1002,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-1
1003,-0.863,343.6,T,mobile,11.6,2.2,1.8,T,T,0.2,4.5,0.7,mobile,ring-dev-2
1004,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-0
1005,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-1
1006,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-2
1007,-0.448,317.9,T,mobile,5.4,1.9,0.6,T,T,0.8,5.0,1.9,mobile,ring-dev-0
1008,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-1
1009,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-2
1010,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-0
1011,-1.893,608.5,T,mobile,9.2,1.0,0.7,T,T,5.1,3.7,0.0,mobile,ring-dev-1
1012,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,ring-dev-2
1013,-0.28,635.8,F,mobile,3.8,2.6,1.4,T,F,8.9,0.7,0.0,mobile,victim-iphone-01
1014,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,victim-iphone-01
1015,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,victim-iphone-01
1016,0.871,133.0,F,mobile,10.4,0.5,1.0,T,T,1.3,7.9,0.0,mobile,victim-iphone-01
1017,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,attacker-fresh-01
1018,1.414,576.0,F,mobile,6.3,2.5,1.3,T,T,1.8,5.5,1.0,mobile,attacker-fresh-01
1019,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,attacker-fresh-01
1020,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,attacker-fresh-01
1021,1.431,681.9,T,mobile,2.0,2.9,0.6,T,T,8.9,0.1,0.4,mobile,attacker-fresh-01
1022,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,attacker-fresh-01
1023,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,attacker-fresh-01
1024,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,attacker-fresh-01
1025,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1026,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1027,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1028,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1029,-0.706,276.0,T,mobile,11.1,1.1,1.7,T,T,5.6,3.6,1.1,mobile,hub-moto-g
1030,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1031,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1032,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1033,-0.146,81.9,F,mobile,4.0,3.1,0.6,F,F,6.0,4.3,0.0,mobile,hub-moto-g
1034,0.767,791.3,T,mobile,11.2,2.5,1.0,T,T,8.7,1.2,0.9,mobile,hub-moto-g
1035,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1036,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,hub-moto-g
1037,0.058,619.1,F,mobile,4.3,3.4,0.2,T,T,1.5,5.7,0.3,mobile,emu-spoof-X1
1038,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,emu-spoof-X1
1039,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,emu-spoof-X1
1040,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,emu-spoof-X1
1041,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,emu-spoof-X1
1042,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,emu-spoof-X1
1043,0.998,521.7,T,mobile,0.3,1.5,1.3,T,T,5.0,9.0,0.8,mobile,emu-spoof-X1
1044,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,emu-spoof-X1
1045,1.078,420.8,T,mobile,7.0,1.3,1.8,T,T,2.5,5.8,0.8,mobile,emu-spoof-X1
1046,0.072,563.4,F,mobile,7.5,3.9,1.7,F,F,5.7,4.4,1.7,mobile,emu-spoof-X1
1047,0.099,23.1,T,mobile,8.5,0.7,0.2,F,T,4.0,6.4,1.7,mobile,emu-spoof-X1
1048,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,emu-spoof-X1
1049,-0.261,524.1,T,mobile,4.0,2.7,1.8,T,F,6.5,3.3,0.0,mobile,low-end-0
1050,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,low-end-1
1051,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,low-end-2
1052,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,low-end-3
1053,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,low-end-0
1054,-1.0,0.0,F,missing,,,0.0,F,F,,5.0,0.0,mobile,low-end-1
1055,0.473,138.1,T,mobile,3.3,0.8,0.3,T,F,0.0,2.5,0.7,mobile,low-end-2
